username,email,password,role
concurrent.user01,concurrent.user01@example.com,password123,member
concurrent.user02,concurrent.user02@example.com,password123,member
concurrent.user03,concurrent.user03@example.com,password123,manager
concurrent.user04,concurrent.user04@example.com,password123,member
concurrent.user05,concurrent.user05@example.com,password123,member
concurrent.user06,concurrent.user06@example.com,password123,manager
concurrent.user07,concurrent.user07@example.com,password123,member
concurrent.user08,concurrent.user08@example.com,password123,member
concurrent.user09,concurrent.user09@example.com,password123,member
concurrent.user10,concurrent.user10@example.com,password123,manager
concurrent.user11,concurrent.user11@example.com,password123,member
concurrent.user12,concurrent.user12@example.com,password123,member
concurrent.user13,concurrent.user13@example.com,password123,member
concurrent.user14,concurrent.user14@example.com,password123,manager
concurrent.user15,concurrent.user15@example.com,password123,member
concurrent.user16,concurrent.user16@example.com,password123,member
concurrent.user17,concurrent.user17@example.com,password123,member
concurrent.user18,concurrent.user18@example.com,password123,manager
concurrent.user19,concurrent.user19@example.com,password123,member
concurrent.user20,concurrent.user20@example.com,password123,member
